bulan_bayar,Claim_Frequency,Total_Claim,Claim_Severity,Unique_Policies,Avg_Usia,Avg_Tenure_Months,Avg_LOS,tahun_bayar,bulan_num,time_index
2024-01-01,10,164352584,16435258.4,8,54.0,121.4,2.2,2024,1,0
2024-02-01,92,2684171054,29175772.326086957,63,53.73913043478261,107.58695652173913,0.8369565217391305,2024,2,1
2024-03-01,97,3809944312,39277776.412371136,57,48.36082474226804,110.70103092783505,0.8762886597938144,2024,3,2
2024-04-01,222,9281763485,41809745.427927926,132,48.23873873873874,110.63513513513513,1.0315315315315314,2024,4,3
2024-05-01,236,11195341007,47437885.62288135,147,48.355932203389834,109.38983050847457,1.152542372881356,2024,5,4
2024-06-01,229,12411150720,54197164.716157205,130,47.41048034934498,112.27510917030568,1.3493449781659388,2024,6,5
2024-07-01,209,12003738257,57434154.33971292,125,49.55502392344498,112.98564593301435,1.555023923444976,2024,7,6
2024-08-01,285,18959889251,66525927.19649123,171,49.10526315789474,113.9578947368421,1.5649122807017544,2024,8,7
2024-09-01,250,14842499658,59369998.632,152,49.944,114.328,1.48,2024,9,8
2024-10-01,243,11142691626,45854698.04938272,147,49.03703703703704,118.79423868312757,1.123456790123457,2024,10,9
2024-11-01,365,17403957393,47682075.049315065,208,49.76986301369863,117.5068493150685,1.1178082191780823,2024,11,10
2024-12-01,296,14102025871,47641979.29391892,172,50.777027027027025,116.74324324324324,1.1756756756756757,2024,12,11
2025-01-01,293,16972526479,57926711.532423206,163,49.66211604095563,118.89419795221843,1.180887372013652,2025,1,12
2025-02-01,183,9559584624,52238167.344262294,123,48.994535519125684,120.5846994535519,0.7868852459016393,2025,2,13
2025-03-01,234,14941053539,63850656.14957265,147,49.53846153846154,124.77777777777777,1.7008547008547008,2025,3,14
2025-04-01,185,7801757434,42171661.80540541,110,49.78378378378378,122.38378378378378,1.1081081081081081,2025,4,15
2025-05-01,205,9786358525,47738334.26829268,132,47.64390243902439,123.55609756097562,1.6536585365853658,2025,5,16
2025-06-01,212,17404378880,82096126.79245283,128,51.12264150943396,123.48113207547169,1.0471698113207548,2025,6,17
2025-07-01,276,19099626708,69201546.04347827,152,48.33695652173913,122.31159420289855,1.2572463768115942,2025,7,18
2025-08-01,245,15468959607,63138610.64081632,134,51.391836734693875,127.2734693877551,1.2163265306122448,2025,8,19
2025-09-01,197,10410727561,52846332.79695431,124,51.857868020304565,126.8274111675127,1.2944162436548223,2025,9,20
2025-10-01,58,4900102482,84484525.55172414,43,45.741379310344826,127.93103448275862,1.9827586206896552,2025,10,21
2025-11-01,3,135632215,45210738.333333336,3,66.66666666666667,123.66666666666667,3.0,2025,11,22
2025-12-01,2,136600272,68300136.0,2,27.0,121.0,3.5,2025,12,23
